PID,Age,Gender,Height
1002688,45,FEMALE,175
1003256,47,FEMALE,175
1004007,55,MALE,175
1004800,43,FEMALE,175
1008521,57,FEMALE,175
1010942,57,MALE,175
1011696,56,MALE,175
1012034,45,FEMALE,175
1013103,45,FEMALE,175
1015377,59,FEMALE,175
1016890,58,FEMALE,175
1018708,51,MALE,175
1019264,48,FEMALE,175
1019533,55,FEMALE,175
1019875,57,FEMALE,175
1022717,50,MALE,175
1023819,42,FEMALE,175
1025716,47,MALE,175
1027707,40,FEMALE,175
1033544,53,MALE,175
1033769,56,FEMALE,175
1034964,47,MALE,175
1036119,54,FEMALE,175
1040453,58,MALE,175
1042391,59,MALE,175
1043355,59,MALE,175
1046829,42,FEMALE,175
1047831,50,FEMALE,175
1050464,57,MALE,175
1053513,57,MALE,175
1053750,56,FEMALE,175
1055909,54,FEMALE,175
1056309,54,FEMALE,175
1057644,61,FEMALE,175
1060577,59,MALE,175
1061974,61,FEMALE,175
1063403,54,MALE,175
1064528,57,MALE,175
1067759,58,FEMALE,175
1067855,58,MALE,175
1069285,56,FEMALE,175
1070083,55,FEMALE,175
1070513,52,FEMALE,175
1071667,55,FEMALE,175
1072991,47,FEMALE,175
1073272,45,MALE,175
1074157,57,FEMALE,175
1076938,43,FEMALE,175
1078147,43,MALE,175
1079457,47,FEMALE,175
1079813,49,MALE,175
1080030,43,MALE,175
1083730,55,MALE,175
1087328,55,FEMALE,175
1087599,47,FEMALE,175
1094231,50,FEMALE,175
1094429,46,FEMALE,175
1095206,53,MALE,175
1097234,58,MALE,175
1099786,61,MALE,175
