PID,reconstruction_error
1069285,0.80849785
1097234,0.72090036
1011696,0.65512407
1079813,0.65190804
1004007,0.6313268
1057644,0.6020837
1025716,0.57445276
1072991,0.53431684
1064528,0.5015784
1033544,0.4966365
1053513,0.49572563
1018708,0.48864937
1040453,0.45620844
1002688,0.4236282
1033769,0.4166799
1094429,0.41318634
1079457,0.41178095
1042391,0.39555666
1067759,0.38869494
1016890,0.37434518
1070513,0.36785352
1078147,0.36536646
1022717,0.32351708
1073272,0.27913818
1055909,0.27355793
1056309,0.25593942
1015377,0.25006932
1070083,0.22609326
1003256,0.20805973
1063403,0.19157963
1012034,0.18683231
1099786,0.18016511
1060577,0.17526132
1019533,0.1722657
1050464,0.14316377
1094231,0.1392095
1027707,0.13873471
1034964,0.13492139
1004800,0.13342988
1036119,0.13341244
1074157,0.13022882
1087599,0.13017179
1019875,0.12769681
1087328,0.1260632
1080030,0.11964825
1013103,0.1186778
1047831,0.08250367
1046829,0.0664809
1071667,0.058233134
1067855,0.054919466
1043355,0.048141163
1019264,0.04037224
