feature,error
bp_20_30_II,0.8477409524638785
bp_20_30_III,0.8173861888629438
bp_30_40_III,0.7919066198175955
bp_20_30_I,0.7692981980205874
bp_30_40_I,0.7585858905466991
bp_30_40_II,0.7472841845404454
bp_12_20_II,0.5268249557976948
bp_12_20_III,0.4965584131445019
bp_12_20_I,0.49414538902958305
bp_4_8_II,0.30814479067093925
bp_4_8_III,0.3030540522733435
bp_4_8_I,0.2693518470276089
bp_8_12_II,0.05355717599931998
bp_8_12_I,0.049876425418619655
bp_8_12_III,0.037835188393408443
bp_0.5_4_II,0.02605688290874947
bp_0.5_4_III,0.021024420706405346
bp_0.5_4_I,0.017120809450833163
