feature,mse
bp_0.5_4_II,12.686458147594875
bp_0.5_4_I,12.48283483324812
bp_0.5_4_III,12.432840965380091
bp_4_8_I,9.492443937878349
bp_4_8_III,9.43839483568323
bp_4_8_II,9.402272256576033
bp_8_12_II,4.2186742121244185
bp_8_12_III,4.17952741325877
bp_8_12_I,4.099624437843795
bp_12_20_I,3.39763382569236
bp_12_20_II,3.3407273705768574
bp_12_20_III,3.27824620106207
bp_20_30_I,2.334357238720708
bp_20_30_II,2.322773227575446
bp_20_30_III,2.285438310921378
bp_30_40_II,1.5739066715452337
bp_30_40_III,1.5566377338062098
bp_30_40_I,1.5310470630337225
