PID,PC1,PC2,reconstruction_error
1002688,-3.685207885662881,-0.2949120675816837,0.10242456
1003256,1.7749077067464898,-0.4942136970132308,0.3858703
1004007,1.5905963602080566,0.058466107633003916,0.14114675
1004800,1.9911386279542207,1.8176236560816026,0.45197138
1011696,-3.7565883433728975,-0.5690892003134032,1.2906165
1012034,3.084586725858361,-0.6639389183210187,0.054748453
1013103,0.9840943034385822,1.0402634358397547,0.15284236
1015377,-2.1541957246994516,-2.3539798752122567,1.0295249
1016890,-0.46055984242889797,0.9714203912128068,0.86642337
1018708,-1.335999258578496,0.7886755336016901,0.3721366
1019264,2.117325417326925,-2.399573059339975,0.073227756
1019533,-1.8678888070843542,-0.9824185667817249,1.1166657
1019875,-0.889807799944896,-2.0974879446784125,0.18823355
1022717,-0.25591664426649974,-2.1501813422788687,0.49031782
1025716,-0.3660023874676215,1.056571243652447,1.347398
1027707,2.7333440212546583,1.1282201841710258,0.18904454
1033544,0.35324424383520653,0.3858706983294672,0.3003235
1033769,-1.2322775746619379,-3.696606239528676,0.52575815
1034964,-0.8767371055051687,-0.2348561363147696,0.5142869
1036119,-0.2215753108528094,-0.6657261025314329,0.24268357
1040453,2.067729139745322,-2.116218071995891,1.6753211
1042391,0.5161567178787902,1.075035670036748,0.42344436
1043355,-1.4723634645589654,0.03754666995383978,0.13028851
1046829,-3.1649181659344006,1.8247503210487421,1.6168439
1047831,0.38595326186703593,-3.3471897111499542,0.1198732
1050464,1.553028158925574,1.3577503948795586,0.81327313
1053513,1.53690397531398,2.1758934481546572,0.5076207
1055909,-2.6395286574984707,3.0780247805203556,0.5751679
1056309,-1.0422358959058797,-1.0047678019860151,0.32660386
1057644,-2.1612723144956716,-0.8831916178686899,2.120304
1060577,-1.5977355263520823,2.3537729772437275,2.5648448
1063403,0.06749447089064638,1.6340156981984533,0.4666225
1064528,2.929817389865284,1.974351223223479,0.5701392
1067759,0.5292653020606591,-1.4189476263962855,0.16807815
1067855,-1.746878687009509,2.3995306343273697,1.7968345
1069285,0.11226472662113975,1.753500636275729,2.4175951
1070083,1.461110535429023,-0.17032818354769058,0.20956305
1070513,-1.6036657425162595,-1.8970259748951201,0.28228757
1071667,1.9386244899158223,-1.0818695908249867,0.12463135
1072991,-2.419363124365615,-0.25586330723136447,0.4465915
1073272,0.618452309595886,-0.9463496310886392,0.7010985
1074157,0.38878984735665645,-1.0740793494724146,0.9873577
1078147,-0.25230974425250563,2.2801487548658357,0.35562935
1079457,0.7785658432664003,1.436393767992226,0.7596401
1079813,1.798303958663995,0.2938684260665477,0.3433795
1080030,1.0462968428451245,-1.5611732858855505,0.18790883
1087328,0.12797894472589472,0.08589623538575651,0.26217997
1087599,1.6460919638426137,0.7454880059264509,0.1342294
1094231,-2.402420674309263,3.537764179576725,1.4782987
1094429,-0.9035444432922037,-2.0762317090836038,0.72782403
1097234,3.262252593319043,2.0208693098247736,0.71392083
1099786,1.1146752462653469,-2.875493372701114,0.25024903
